Actual Class,Predicted Class,Cleaned_Text,Raw_Text
World,Business,crude price spike may send gas higher ap ap amid soaring crude oil price gasoline cost have been dropping but do n't expect that to last economist say,"Crude Price Spike May Send Gas Higher (AP) AP - Amid soaring crude oil prices, gasoline costs have been dropping. But don't expect that to last, economists say."
World,Sci/Tech,microsoft open new software development unit in india afp afp microsoft said it will join with india s second-largest software firm infosys technology to provide software and consulting to manufacturing banking and automobile company,"Microsoft open new software development unit in India (AFP) AFP - Microsoft said it will join with India's second-largest software firm, Infosys Technologies, to provide software and consulting to manufacturing, banking and automobile companies."
Sci/Tech,Business,regulator let cingular buy at t wireless the 41 billion merger between cingular wireless llc and at t wireless service inc won approval from the federal communication commission friday according to federal source close to the agency the washington post,"Regulators Let Cingular Buy AT T Wireless The \$41 billion merger between Cingular Wireless LLC and AT T Wireless Services Inc. won approval from the Federal Communications Commission Friday, according to federal sources close to the agency. &lt;BR&gt;\&lt;FONT face=""verdana,MS Sans Serif,arial,helvetica"" size=""-2""\ color=""#666666""&gt;&lt;B&gt;-The Washington Post&lt;/B&gt;&lt;/FONT&gt;"
Sci/Tech,Business,flat-screen tv but the booming demand isn 39 t proving profitable for the company that make the high-resolution video panel for electronics retailer it will be the holiday season of the flat-screen tv,"Flat-screen TV But the booming demand isn #39;t proving profitable for the companies that make the high-resolution video panels. For electronics retailers, it will be the holiday season of the flat-screen TV."
Business,World,vt sue over importing drug vermont s republican governor challenged the bush administration s prescription drug policy in federal court yesterday marking the first time a state ha chosen a legal avenue in the expanding battle over canadian import,"Vt. sues over importing drugs Vermont's Republican governor challenged the Bush administration's prescription drug policy in federal court yesterday, marking the first time a state has chosen a legal avenue in the expanding battle over Canadian imports."
Business,Sci/Tech,microsoft ready next business im server a little over a year after introducing the first version of office live communication server microsoft say it plan to release the next version of it enterprise instant messaging software in december,"Microsoft Readies Next Business IM Server A little over a year after introducing the first version of Office Live Communications Server, Microsoft says it plans to release the next version of its enterprise instant messaging software, in December."
Sports,Sci/Tech,time to scrap broadsheet edition the time is to scrap it broadsheet edition and go tabloid from monday it wa confirmed today the decision wa made after a trial run of the compact edition proved a success said editor robert thomson,"Times to Scrap Broadsheet Edition The Times is to scrap its broadsheet edition and go tabloid from Monday, it was confirmed today. The decision was made after a trial run of the compact edition proved a success, said editor Robert Thomson."
World,Sci/Tech,easygroup close to launching low-cost mobile phone service afp afp easygroup the holding company of no-frills british airline easyjet is close to striking a deal to launch a low-cost mobile telephone service in britain the financial time reported,"EasyGroup close to launching low-cost mobile phone service (AFP) AFP - EasyGroup, the holding company of no-frills British airline easyJet, is close to striking a deal to launch a low-cost mobile telephone service in Britain, the Financial Times reported."
Sci/Tech,World,meet uk 39 s 39 dr dolittle 39 of animal behaviour london lincoln university in the east of england ha appointed britain 39 s first professor of animal psychiatry a report said on tuesday,"Meet UK #39;s  #39;Dr Dolittle #39; of animal behaviour London - Lincoln University in the east of England has appointed Britain #39;s first professor of animal psychiatry, a report said on Tuesday."
Business,Sci/Tech,metropcs obtains cingular air com november 29 2004 8:33 am pt wired amp wireless continues it reign a the top it priority among it manager due to widespread ip telephony deployment and other network infrastructure upgrade,"MetroPCS obtains Cingular air com November 29, 2004, 8:33 AM PT. Wired  amp; Wireless continues its reign as the top IT priority among IT managers due to widespread IP telephony deployment and other network infrastructure upgrades."
