Actual Class,Predicted Class,Cleaned_Text,Raw_Text
Sci/Tech,Business,some people not eligible to get in on google ipo google ha billed it ipo a a way for everyday people to get in on the process denying wall street the usual stranglehold it s had on ipo public bidding a minimum of just five share an open process with 28 underwriter all this pointed to a new level of public participation but this is n't the case,"Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case."
Sci/Tech,Business,rival try to turn table on charles schwab by michael liedtke san francisco ap with it low price and iconoclastic attitude discount stock broker charles schwab corp sch represented an annoying stone in wall street s wing-tipped shoe for decade,"Rivals Try to Turn Tables on Charles Schwab By MICHAEL LIEDTKE     SAN FRANCISCO (AP) -- With its low prices and iconoclastic attitude, discount stock broker Charles Schwab Corp. (SCH) represented an annoying stone in Wall Street's wing-tipped shoes for decades..."
World,Business,venezuela prepares for chavez recall vote supporter and rival warn of possible fraud government say chavez s defeat could produce turmoil in world oil market,Venezuela Prepares for Chavez Recall Vote Supporters and rivals warn of possible fraud; government says Chavez's defeat could produce turmoil in world oil market.
Sci/Tech,Business,promoting a shared vision a michael kaleko kept running into people who were getting older and having more vision problem he realized he could do something about it,"Promoting a Shared Vision As Michael Kaleko kept running into people who were getting older and having more vision problems, he realized he could do something about it."
World,Sports,live olympics day four richard fauld and stephen parry are going for gold for great britain on day four in athens,Live: Olympics day four Richard Faulds and Stephen Parry are going for gold for Great Britain on day four in Athens.
Business,Sci/Tech,intel to delay product aimed for high-definition tv san francisco in the latest of a series of product delay intel corp ha postponed the launch of a video display chip it had previously planned to introduce by year end putting off a showdown with texas instrument inc in the fast-growing market for high-definition television display,"Intel to delay product aimed for high-definition TVs SAN FRANCISCO -- In the latest of a series of product delays, Intel Corp. has postponed the launch of a video display chip it had previously planned to introduce by year end, putting off a showdown with Texas Instruments Inc. in the fast-growing market for high-definition television displays."
Business,Sci/Tech,yahoo ups ante for small business web giant yahoo is gambling that price cut on it domain name registration and web hosting product will make it more competitive with discounter in the space which mean that small business looking to move online get a sweeter deal through,Yahoo! Ups Ante for Small Businesses Web giant Yahoo! is gambling that price cuts on its domain name registration and Web hosting products will make it more competitive with discounters in the space -- which means that small businesses looking to move online get a sweeter deal through ...
Sci/Tech,Business,"ibm buy two danish service firm ibm said tuesday it ha acquired a pair of danish it service firm a part of it effort to broaden it presence in scandinavia a a result of the move ibm will add about 3,700 it staffer to it global head count financial term of","IBM Buys Two Danish Services Firms IBM said Tuesday it has acquired a pair of Danish IT services firms as part of its effort to broaden its presence in Scandinavia. As a result of the moves, IBM will add about 3,700 IT staffers to its global head count. Financial terms of ..."
World,Business,oil price bubble to record high the price of oil ha continued it sharp rise overnight closing at a record high the main contract in new york light sweet crude for delivery next month ha closed at a record us46.75 a barrel up 70 cent on yesterday 39 s close,"Oil prices bubble to record high The price of oil has continued its sharp rise overnight, closing at a record high. The main contract in New York, light sweet crude for delivery next month, has closed at a record \$US46.75 a barrel - up 70 cents on yesterday #39;s close. "
Business,Sci/Tech,suv live and let die new york the newly released traffic crash fatality data have something for everyone in the debate about the safety of sport utility vehicle,SUVs: Live And Let Die NEW YORK - The newly released traffic crash fatality data have something for everyone in the debate about the safety of sport utility vehicles. 
World,Sports,schrder adopts russian orphan three-year-old victoria from st petersburg ha been living at the schrders 39 family home in hanover in northern germany for several week,"Schrder adopts Russian orphan Three-year-old Victoria, from St Petersburg, has been living at the Schrders #39; family home in Hanover in northern Germany for several weeks. "
World,Business,"sharon order 1,000 home in west bank israel announced plan for 1,000 house in the west bank yesterday accelerating the expansion of the settlement","Sharon orders 1,000 homes in West Bank Israel announced plans for 1,000 houses in the West Bank yesterday, accelerating the expansion of the settlements. "
World,Business,google lower it ipo price range san jose calif in a sign that google inc s initial public offering is n't a popular a expected the company lowered it estimated price range to between 85 and 95 per share down from the earlier prediction of 108 and 135 per share,"Google Lowers Its IPO Price Range SAN JOSE, Calif. - In a sign that Google Inc.'s initial public offering isn't as popular as expected, the company lowered its estimated price range to between \$85 and \$95 per share, down from the earlier prediction of \$108 and \$135 per share..."
World,Sci/Tech,future doctor crossing border student at the mount sinai school of medicine learn that diet and culture shape health in east harlem,"Future Doctors, Crossing Borders Students at the Mount Sinai School of Medicine learn that diet and culture shape health in East Harlem."
Sci/Tech,Business,microsoft finalises three-year government deal hot on the heel of it 10-year strategic partnership with the london borough of newham microsoft is close to signing a new broad three-year public sector agreement with the government,"Microsoft finalises three-year government deal Hot on the heels of its 10-year strategic partnership with the London Borough of Newham, Microsoft is close to signing a new broad three-year public sector agreement with the government. "
World,Business,"stock price climb ahead of google ipo new york investor shrugged off rising crude future wednesday to capture well-priced share sending the nasdaq composite index up 1.6 percent ahead of google inc s much-anticipated initial public offering of stock in afternoon trading the dow jones industrial average gained 67.10 or 0.7 percent to 10,039.93","Stock Prices Climb Ahead of Google IPO NEW YORK - Investors shrugged off rising crude futures Wednesday to capture well-priced shares, sending the Nasdaq composite index up 1.6 percent ahead of Google Inc.'s much-anticipated initial public offering of stock.    In afternoon trading, the Dow Jones industrial average gained 67.10, or 0.7 percent, to 10,039.93..."
Sci/Tech,Business,intuit post wider loss after charge reuters reuters intuit inc intu.o maker of\the no 1 u.s tax presentation software turbotax on wednesday\posted a wider quarterly loss after taking a goodwill\impairment charge during it seasonally weaker fourth quarter,"Intuit Posts Wider Loss After Charge (Reuters) Reuters - Intuit Inc. (INTU.O), maker of\the No. 1 U.S. tax presentation software TurboTax, on Wednesday\posted a wider quarterly loss after taking a goodwill\impairment charge during its seasonally weaker fourth quarter."
Sci/Tech,Business,hurricane center 39 s projection on charley not far off data show fort lauderdale fla krt despite criticism that it should have better anticipated hurricane charley 39 s rapid intensification and quick turn the national hurricane center 39 s forecast wasn 39 t that far off a preliminary post-mortem show,"Hurricane center #39;s projection on Charley not far off, data show FORT LAUDERDALE, Fla. - (KRT) - Despite criticism that it should have better anticipated Hurricane Charley #39;s rapid intensification and quick turn, the National Hurricane Center #39;s forecast wasn #39;t that far off, a preliminary post-mortem shows. "
Business,Sports,selling houston wart and all especially wart description of urban affliction and image of giant mosquito and cockroach to convey a sense of how houston is nevertheless beloved by many resident,"Selling Houston Warts and All, Especially Warts Descriptions of urban afflictions and images of giant mosquitoes and cockroaches to convey a sense of how Houston is nevertheless beloved by many residents."
Sci/Tech,Business,caterpillar snap up another remanufacturer of engine peoria caterpillar inc said wednesday it will acquire a south carolina remanufacturer of engine and automatic transmission increasing it u employment base by 500 people,"Caterpillar snaps up another remanufacturer of engines PEORIA - Caterpillar Inc. said Wednesday it will acquire a South Carolina remanufacturer of engines and automatic transmissions, increasing its US employment base by 500 people. "
Sports,Sci/Tech,olympics hansen still strong enough to take bronze every ounce of his energy wa expended leaving an empty fuel tank but even in a depleted state brendan hansen found a way to bolster his ever-growing swimming legacy,"Olympics: Hansen still strong enough to take bronze Every ounce of his energy was expended, leaving an empty fuel tank. But, even in a depleted state, Brendan Hansen found a way to bolster his ever-growing swimming legacy. "
Sci/Tech,Business,ciena post a loss forecast flat sale by deborah cohen chicago reuters telecommunication equipment makerciena corp on thursday reported a wider loss for thefiscal third quarter due to slack demand and forecast sale inthe current quarter would be little changed from the thirdquarter,"Ciena Posts a Loss, Forecasts Flat Sales &lt;p&gt;&lt;/p&gt;&lt;p&gt; By Deborah Cohen&lt;/p&gt;&lt;p&gt; CHICAGO (Reuters) - Telecommunications equipment makerCiena Corp. &lt;CIEN.O&gt; on Thursday reported a wider loss for thefiscal third quarter due to slack demand and forecast sales inthe current quarter would be little changed from the thirdquarter.&lt;/p&gt;"
