Actual Class,Predicted Class,Cleaned_Text,Raw_Text
Sci/Tech,Business,eu accuses microsoft of paternal view microsoft corp said friday,EU Accuses Microsoft of Paternal View Microsoft Corp
Business,Sci/Tech,amazon snap up china s largest web retailer newsfactor newsfactor,Amazon Snaps Up China's Largest Web Retailer (NewsFactor) NewsFactor - Amazon
Business,Sci/Tech,vodafone target japan with 3g offensive vodafone ha unveiled plan,Vodafone targets Japan with 3G offensive Vodafone has unveiled plans for 10 new third-generation handsets for Christmas to help shore up its struggling Japanese unit
World,Business,safety group closely echo rail industry document show that the,Safety Group Closely Echoes Rail Industry Documents show that the nation's most influential rail-safety group is tightly bound to the railroad industry
World,Business,consumer confidence dip in september new york job worry helped,"Consumer Confidence Dips in September NEW YORK - Job worries helped push consumer confidence down in September for the second consecutive month, a New York-based private research group said Tuesday"
Sci/Tech,World,hit tv series 24 go from small screen to smaller,Hit TV series 24 goes from small screen to smaller screen (AFP) AFP - The hit US television show  quot;24 quot; is going from the small screen to the smaller after 20th Century Fox and Vodaphone struck a groundbreaking deal to distribute the drama on mobile telephones
World,Sci/Tech,going ballistic agni-ii test fired new delhi india quest to,"Going ballistic: Agni-II test fired NEW DELHI: Indias quest to develop a solid missile defence took a step forward today when it successfully test-fired the surface-to-surface Agni-II missile, which can cover targets in the 2000-2500 kms-range, from the Integrated Test Range (ITR) at"
Business,World,ireland 39 s national carrier seek govt aid ireland 39,Ireland #39;s National Carrier Seeks Govt
World,Business,"sharon order 1,000 home in west bank israel announced plan","Sharon orders 1,000 homes in West Bank Israel announced plans for 1,000 houses in the West Bank yesterday, accelerating the expansion of the settlements"
Business,Sci/Tech,"fastrak toll bridge discount end monday about 70,000 motorist signed","FasTrak Toll Bridge Discounts End Monday About 70,000 motorists signed up for FasTrak, the electronic toll collection system, since July 1, when tolls went up from \$2 to \$3"
Sci/Tech,Business,final round in cable-isp fight the u.s supreme court ha,Final Round in Cable-ISP Fight The U
Sci/Tech,Business,eu accuses microsoft of paternal view microsoft corp said friday,EU Accuses Microsoft of Paternal View Microsoft Corp
Business,Sci/Tech,intel in new chip breakthrough intel creates a more powerful,"Intel in new chip breakthrough Intel creates a more powerful memory chip without increasing its size, confounding the firm's critics"
Sci/Tech,World,william watkins 78 recorder of marine mammal call dy a,"William Watkins, 78, Recorder of Marine Mammals' Calls, Dies A leading researcher of marine mammal acoustics, William A"
Sci/Tech,World,william watkins 78 recorder of marine mammal call dy a,"William Watkins, 78, Recorder of Marine Mammals' Calls, Dies A leading researcher of marine mammal acoustics, William A"
